,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,,,
100,92,Honduras,"425,655",,"10,902 ",,"132,430",,"282,323",105,"41,686","1,068","1,387,113","135,847","10,210,881 ",North America,249377,,,"27,649",,,,,
101,93,Armenia,"423,006",,"8,629 ",,"412,661",,"1,716",,"142,234","2,901","3,109,931","1,045,703","2,974,010 ",Asia,73451,,,577,,,,,
102,94,Réunion,"418,585",,796 ,,"415,360",,"2,429",10,"461,131",877,"1,603,660","1,766,661","907,735 ",Africa,"21,1401",,,"2,676",,,,,
103,95,Oman,"389,758",,"4,260 ",,"384,669",,829,2,"72,728",795,"25,000,000","4,664,971","5,359,090 ",Asia,"141,2580",,,155,,,,,
104,96,Bosnia and Herzegovina,"378,112",,"15,793 ",,N/A,N/A,N/A,,"116,660","4,873","1,782,950","550,096","3,241,159 ",Europe,92052,,,"52,482",,,,,
105,97,Qatar,"372,704",,677 ,,"369,363",,"2,664",,"132,739",241,"3,590,034","1,278,591","2,807,805 ",Asia,"84,1471",,,949,,,,,
106,98,Kenya,"327,145",,"5,651 ",,"319,669",,"1,825",,"5,834",101,"3,703,840","66,053","56,073,862 ",Africa,"1719,92315",,,33,,,,,
107,99,Zambia,"323,283",,"3,989 ",,"318,247",,"1,047",,"16,677",206,"3,507,848","180,959","19,384,745 ",Africa,"604,8606",,,54,,,,,
108,100,North Macedonia,"312,607",,"9,316 ",,"302,892",,399,,"150,060","4,472","2,057,112","987,473","2,083,208 ",Europe,72241,,,192,,,,,
109,101,Botswana,"310,431",,"2,701 ",,"304,887",,"2,843",1,"127,021","1,105","2,026,898","829,358","2,443,936 ",Africa,89051,,,"1,163",,,,,
110,102,Albania,"276,731",,"3,497 ",,"272,893",,341,2,"96,365","1,218","1,835,130","639,042","2,871,689 ",Europe,108212,,,119,,,,,
111,103,Algeria,"265,937",,"6,875 ",,"178,442",,"80,620",6,"5,859",151,"230,861","5,086","45,390,507 ",Africa,"1716,602197",,,"1,776",,,,,
112,104,Nigeria,"256,352",,"3,144 ",,"250,131",,"3,077",11,"1,186",15,"5,198,572","24,060","216,071,476 ",Africa,"84368,72542",,,14,,,,,
113,105,Zimbabwe,"254,155",,"5,521 ",,"246,556",,"2,078",12,"16,629",361,"2,361,244","154,495","15,283,591 ",Africa,"602,7686",,,136,,,,,
114,106,Luxembourg,"251,873",,"1,084 ",,"245,443",,"5,346",,"390,030","1,679","4,275,297","6,620,382","645,778 ",Europe,35960,,,"8,278",,,,,
115,107,Uzbekistan,"239,272",,"1,637 ",,"237,441",,194,23,"6,953",48,"1,377,915","40,041","34,412,290 ",Asia,"14421,02225",,,6,,,,,
116,108,Montenegro,"237,945",,"2,722 ",,"234,768",,455,6,"378,760","4,333","2,485,184","3,955,907","628,221 ",Europe,32310,,,724,,,,,
117,109,Mozambique,"226,481",,"2,206  ",,"223,783",,492,13,"6,872",67,"1,335,374","40,518","32,957,580 ",Africa,"14614,94025",,,15,,,,,
118,110,Laos,"210,158",,757 ,,N/A,N/A,N/A,,"28,093",101,"1,233,207","164,849","7,480,827 ",Asia,"369,8826",,,"26,968",,,,,
119,111,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,850",444,"1,907,195","283,241","6,733,469 ",Asia,"342,2514",,,237,,,,,
120,112,Iceland,"190,014",,153 ,,N/A,N/A,N/A,1,"549,890",443,"1,958,282","5,667,162","345,549 ",Europe,"22,2580",,,"330,419",,,,,
121,113,Martinique,"182,791",,943 ,,104,,"181,744",8,"487,834","2,517","828,928","2,212,250","374,699 ",North America,23970,,,"485,040",,,,,
122,114,Afghanistan,"180,864",,"7,709 ",,"163,215",,"9,940","1,124","4,451",190,"971,529","23,910","40,632,673 ",Asia,"2255,27142",,,245,,,,,
123,115,Maldives,"179,979",,299 ,,"163,687",,"15,993",25,"321,935",535,"2,213,831","3,959,966","559,053 ",Asia,"31,8700",,,"28,607",,,,,
124,116,Namibia,"168,448",,"4,049 ",,"162,463",,"1,936",,"64,040","1,539","1,050,977","399,555","2,630,367 ",Africa,166503,,,736,,,,,
125,117,Uganda,"166,319",,"3,602 ",,"100,395",,"62,322",6,"3,426",74,"2,731,155","56,256","48,548,800 ",Africa,"29213,47818",,,"1,284",,,,,
126,118,Trinidad and Tobago,"164,829",,"3,965 ",,"152,814",,"8,050",18,"117,041","2,815","760,781","540,213","1,408,299 ",North America,93552,,,"5,716",,,,,
127,119,El Salvador,"164,134",,"4,135 ",,"158,594",,"1,405",8,"25,059",631,"2,219,800","338,909","6,549,835 ",North America,"401,5843",,,215,,,,,
128,120,Guadeloupe,"162,190",,949 ,,"2,250",,"158,991",19,"405,215","2,371","938,039","2,343,592","400,257 ",North America,24220,,,"397,222",,,,,
129,121,Ghana,"161,935",,"1,445 ",,"160,089",,401,,"5,008",45,"2,455,067","75,929","32,333,890 ",Africa,"20022,37613",,,12,,,,,
130,122,Brunei ,"153,611",,225 ,,"150,550",,"2,836",,"344,710",505,"717,784","1,610,739","445,624 ",Asia,"31,9811",,,"6,364",,,,,
131,123,Jamaica,"140,670",,"3,084 ",,"88,864",,"48,722",,"47,105","1,033","1,117,306","374,145","2,986,295 ",North America,219683,,,"16,315",,,,,
132,124,Cambodia,"136,262",,"3,056 ",,"133,206",,0,,"7,937",178,"2,978,201","173,465","17,168,838 ",Asia,"1265,6186",,,,,,,,
133,125,Rwanda,"130,375",,"1,459 ",,"45,522",,"83,394",,"9,603",107,"5,494,233","404,691","13,576,353 ",Africa,"1049,3052",,,"6,143",,,,,
134,126,Cameroon,"119,947",,"1,930 ",,"117,791",,226,13,"4,310",69,"1,751,774","62,945","27,830,381 ",Africa,"23214,42016",,,8,,,,,
135,127,Angola,"99,761",,"1,900 ",,"97,149",,712,,"2,862",55,"1,499,795","43,031","34,853,471 ",Africa,"34918,34423",,,20,,,,,
136,128,Malta,"96,290",,727 ,,"93,412",,"2,151",4,"216,953","1,638","1,938,234","4,367,074","443,829 ",Europe,56100,,,"4,846",,,,,
137,129,DRC,"89,932",,"1,345 ",,"50,930",,"37,657",,948,14,"846,704","8,926","94,853,927 ",Africa,"1,05570,523112",,,397,,,,,
138,130,Senegal,"86,170",,"1,967 ",,"84,186",,17,,"4,896",112,"1,102,286","62,624","17,601,640 ",Africa,"2048,94816",,,1.0,,,,,
139,131,Malawi,"86,107",,"2,642 ",,"82,932",,533,67,"4,286",132,"586,740","29,204","20,090,863 ",Africa,"2337,60434",,,27,,,,,
140,132,French Guiana,"84,507",,399 ,,"11,254",,"72,854",1,"269,361","1,272","644,972","2,055,812","313,731 ",South America,47860,,,"232,218",,,,,
141,133,Ivory Coast,"82,492",,799 ,,"81,591",,102,,"2,984",29,"1,532,951","55,445","27,648,050 ",Africa,"33534,60318",,,4,,,,,
142,134,Barbados,"82,318",,468 ,,"80,678",,"1,172",,"285,768","1,625","694,258","2,410,124","288,059 ",North America,36160,,,"4,069",,,,,
143,135,Suriname,"80,673",,"1,352 ",,"49,526",,"29,795",,"135,164","2,265","237,519","397,953","596,852 ",South America,74413,,,"49,920",,,,,
144,136,Channel Islands,"77,006",,176 ,,"76,220",,610,,"435,114",994,"1,252,808","7,078,851","176,979 ",Europe,"21,0060",,,"3,447",,,,,
145,137,French Polynesia,"73,106",,649 ,,N/A,N/A,N/A,7,"257,357","2,285",,,"284,065 ",Australia/Oceania,4438,,,"137,141",,,,,
146,138,Eswatini,"72,904",,"1,410 ",,"71,378",,116,11,"61,599","1,191","1,031,608","871,644","1,183,520 ",Africa,168391,,,98,,,,,
147,139,Guyana,"65,926",,"1,240 ",,"63,706",,980,,"83,037","1,562","645,436","812,962","793,931 ",South America,126401,,,"1,234",,,,,
148,140,Fiji,"65,217",,865 ,,"63,246",,"1,106",,"71,740",952,"547,562","602,329","909,075 ",Australia/Oceania,"141,0512",,,"1,217",,,,,
149,141,Madagascar,"64,685",,"1,396 ",,"63,006",,283,6,"2,225",48,"453,438","15,596","29,074,832 ",Africa,"44920,82764",,,10,,,,,
150,142,New Caledonia,"62,487",,313 ,,"61,746",,428,9,"214,855","1,076","98,964","340,277","290,834 ",Australia/Oceania,59293,,,"1,472",,,,,
151,143,Sudan,"62,475",,"4,950 ",,N/A,N/A,N/A,,"1,363",108,"562,941","12,281","45,839,520 ",Africa,"7349,26181",,,375,,,,,
152,144,Belize,"61,150",,678 ,,"58,605",,"1,867",6,"148,544","1,647","576,016","1,399,245","411,662 ",North America,76071,,,"4,535",,,,,
153,145,Bhutan,"59,644",,21 ,,"59,616",,7,,"75,678",27,"2,303,734","2,923,045","788,128 ",Asia,"1337,5300",,,9,,,,,
154,146,Mauritania,"59,252",,982 ,,"58,158",,112,,"12,124",201,"843,713","172,636","4,887,233 ",Africa,"824,9776",,,23,,,,,
